0: itu-t
0.2: administration
0.2.262: germany
0.2.262.1: deutsche-telekom
0.4: identified-organization
0.4.0: etsi
0.4.0.127: reserved
0.4.0.127.0: etsi-identified-organization
0.4.0.127.0.7: bsi-de
0.4.0.127.0.7.1: algorithms
0.4.0.127.0.7.1.1: id-ecc
0.4.0.2042: other-certificate-policies
0.4.0.2042.1: policy-identifiers
0.4.0.194112: qualified-certificate-policies
0.4.0.194112.1: policy-identifiers
0.4.0.194121: id-cert-profile
0.4.0.194121.1: id-mod
0.9: data
0.9.2342: pss
0.9.2342.19200300: ucl
0.9.2342.19200300.100: pilot
0.9.2342.19200300.100.1: pilotAttributeType
1: iso
1.0: standard
1.0.10118: hash-functions
1.0.10118.3: part3
1.0.10118.3.0: algorithm
1.2: member-body
1.2.36: au
1.2.36.1: government
1.2.36.1.3: queensland-government
1.2.36.1.3.1: executive-branch
1.2.36.1.3.1.1: woQG
1.2.36.1.3.1.3: department-of-transport-and-main-roads
1.2.36.1.333: gatekeeper
1.2.36.68980861: signet
1.2.40: at
1.2.40.0: gv
1.2.112: ???
1.2.112.0: ???
1.2.112.0.2: ???
1.2.112.0.2.0: ???
1.2.112.0.2.0.34: ???
1.2.112.0.2.0.34.101: ???
1.2.112.0.2.0.34.101.45: ???
1.2.112.0.2.0.34.101.45.2: ???
1.2.112.0.2.0.34.101.45.2.1: bignPubkey
1.2.112.0.2.0.34.101.45.3: ???
1.2.112.0.2.0.34.101.45.3.1: bignParamB1
1.2.112.0.2.0.34.101.45.3.2: bignParamB2
1.2.112.0.2.0.34.101.45.3.3: bignParamB3
1.2.112.0.2.0.34.101.45.11: bignWithHSpec
1.2.112.0.2.0.34.101.45.12: bignWithHBelt
1.2.156: cn
1.2.156.10197: ccstc
1.2.156.10197.4: pki
1.2.392: jp
1.2.392.200011: mitsubishi-electric-corporation
1.2.392.200011.61: isl
1.2.392.200011.61.1: security
1.2.392.200011.61.1.1: algorithm
1.2.392.200091: secom-trust-net
1.2.410: kr
1.2.410.200004: kisa
1.2.410.200046: nsri
1.2.410.200046.1: algorithm
1.2.643: ru
1.2.643.2: reg2
1.2.643.2.2: cryptopro
1.2.752: se
1.2.752.34: seis
1.2.840: us
1.2.840.10040: x9-57
1.2.840.10045: ansi-x962
1.2.840.10045.1: fieldType
1.2.840.10045.1.1: prime-field
1.2.840.10045.1.2: characteristic-two-field
1.2.840.10045.1.2.3: characteristic-two-basis
1.2.840.10045.1.2.3.1: onBasis
1.2.840.10045.1.2.3.2: tpBasis
1.2.840.10045.1.2.3.3: ppBasis
1.2.840.10045.2: publicKeyType
1.2.840.10045.2.1: ecPublicKey
1.2.840.10045.3: curves
1.2.840.10045.3.0: characteristicTwo
1.2.840.10045.3.1: prime
1.2.840.10045.3.1.1: prime192v1
1.2.840.10045.3.1.2: prime192v2
1.2.840.10045.3.1.3: prime192v3
1.2.840.10045.3.1.4: prime239v1
1.2.840.10045.3.1.5: prime239v2
1.2.840.10045.3.1.6: prime239v3
1.2.840.10045.3.1.7: prime256v1
1.2.840.10045.4: signatures
1.2.840.10045.4.3: ecdsa-with-SHA2
1.2.840.10045.4.3.2: ecdsa-with-SHA256
1.2.840.10046: ansi-x942
1.2.840.10065: astm-e31-20
1.2.840.10065.2: healthcare-certificate-policy
1.2.840.10070: iec62351
1.2.840.10070.8: iec62351_8
1.2.840.10070.8.1: iecUserRoles
1.2.840.113533: nortelnetworks
1.2.840.113549: rsadsi
1.2.840.113549.1: pkcs
1.2.840.113549.1.1: pkcs-1
1.2.840.113549.1.1.1: rsaEncryption
1.2.840.113549.1.1.2: md2WithRSAEncryption
1.2.840.113549.1.1.3: md4WithRSAEncryption
1.2.840.113549.1.1.4: md5WithRSAEncryption
1.2.840.113549.1.1.5: sha1WithRSAEncryption
1.2.840.113549.1.1.6: rsaOAEPEncryptionSET
1.2.840.113549.1.1.7: rsaOAEP
1.2.840.113549.1.1.8: pkcs1-MGF
1.2.840.113549.1.1.9: rsaOAEP-pSpecified
1.2.840.113549.1.1.10: rsaPSS
1.2.840.113549.1.1.11: sha256WithRSAEncryption
1.2.840.113549.1.1.12: sha384WithRSAEncryption
1.2.840.113549.1.1.13: sha512WithRSAEncryption
1.2.840.113549.1.1.14: sha224WithRSAEncryption
1.2.840.113549.1.2: bsafeRsaEncr
1.2.840.113549.1.3: pkcs-3
1.2.840.113549.1.3.1: dhKeyAgreement
1.2.840.113549.1.5: pkcs-5
1.2.840.113549.1.5.1: pbeWithMD2AndDES-CBC
1.2.840.113549.1.5.3: pbeWithMD5AndDES-CBC
1.2.840.113549.1.5.4: pbeWithMD2AndRC2-CBC
1.2.840.113549.1.5.6: pbeWithMD5AndRC2-CBC
1.2.840.113549.1.5.9: pbeWithMD5AndXOR
